country,year,inflation_rate,obesity_rate,population,fast_food_count,fast_food_per_million
United Arab Emirates,2022,5.29122604376849,32.07922,10074977.0,103,10.2233484006961
Argentina,2022,72.430757531824,35.3552,45407904.0,217,4.778903690423588
Australia,2022,6.59409658717841,30.24391,26018721.0,1014,38.97193870521153
Austria,2022,8.54686993188457,15.36754,9041851.0,203,22.45115518935227
Azerbaijan,2022,13.8522590144267,26.54888,10141756.0,23,2.267851839464487
Belgium,2022,9.597511728725,20.02537,11680210.0,110,9.417638895191097
Bulgaria,2022,15.3252589264367,20.58764,6465097.0,43,6.651098970363476
Bahrain,2022,3.62574104304482,36.12672,1524693.0,17,11.149785563388827
Belarus,2022,15.2096752740809,21.37462,9228071.0,25,2.7091252332150457
Brazil,2022,9.28010608956872,28.14184,210306415.0,1052,5.002224967792828
Canada,2022,6.80280115341612,26.22712,38935934.0,1408,36.16196801648575
Switzerland,2022,2.83502798644451,12.11141,8777088.0,173,19.710409648393636
Chile,2022,11.6438667110559,38.91461,19553036.0,93,4.756294623505015
China,2022,1.9735755573905,8.27953,1412175000.0,5906,4.182201214438721
Colombia,2022,10.1772313546166,23.61547,51737944.0,73,1.4109567245269738
Costa Rica,2022,8.27477490232654,31.38761,5081765.0,70,13.774741649800808
Cyprus,2022,8.39548297993334,22.93653,1331370.0,24,18.02654408616688
Germany,2022,6.87257438551096,20.40371,83177813.0,1416,17.023770509570863
Denmark,2022,7.69656699889259,13.27851,5903037.0,100,16.94043252651135
Dominican Republic,2022,8.81109209279587,29.34005,11230734.0,9,0.8013723769078673
Ecuador,2022,3.46616972213076,27.37855,17823897.0,31,1.7392380577603204
Spain,2022,8.39057634118626,15.66913,47786102.0,347,7.261525537278601
Estonia,2022,19.3982634080616,22.16319,1348840.0,11,8.1551555410575
Finland,2022,7.12350773301402,21.50907,5556106.0,71,12.778733883046868
Fiji,2022,6.07882431529724,33.83844,919422.0,4,4.350559373171405
France,2022,5.22236748369725,9.69848,68184457.0,1597,23.421760182089592
United Kingdom,2022,7.92204883147902,26.82025,67604000.0,1416,20.94550618306609
Georgia,2022,11.8981654203198,34.65963,3712502.0,21,5.6565626092592005
Greece,2022,9.64525981280642,27.9815,10436882.0,30,2.8744216903094237
Guatemala,2022,6.88512823344287,26.81024,17847877.0,100,5.602907281353406
